Record ID,Institution Name:,Please indicate your gender:,Please indicate your racial/ethnic identity:  (You may select more than one option.),What is your current marital status?  (You may select more than one option.),Please indicate your current appointment:  (You may select more than one option.),Track: Other,"In your career as faculty, have you had any leadership title or role?","In your career as faculty, how many leadership positions have you held?","What is the highest incentivized leadership position have you had?  (Incentives may be monetary, less clinic time, etc.)","As faculty, on average, how many publications have you published per year in peer-reviewed journals over the last 5 years?",How many publications were you first or last author?,"What is the total number of funded projects or studies to date?  (A funded project or study is defined as one for which you were a principal investigator (PI), co-PI, site PI, or co-investigator receiving salary support.)",Please select the types of funding sources for your projects or studies.  (You may select more than one option.),Funding Sources: Other,"What is the maximum funding for a single grant or funding source you have received as faculty? (in US dollars, including total cost (direct and indirect))","As faculty, how many total awards have you received to date?",At which level were the awards given?  (You may select more than one option.),Level of awards: Other,"As faculty, how many total times have you been invited as a guest speaker?  (A guest speaking engagement is defined as occurring outside your current department ex. grand rounds, workshop lead, panelist.)",At which level were the guest speaking engagements given?  (You may select more than one option.),Level of guest speaking arrangements: Other,The demands of my family and/or spouse/partner interfere with my work-related activities.,I have to put off doing things at work because of the demands on my time at home.,Things I want to do at work do not get done because of the demands of my family and/or spouse/partner.,"My home life interferes with my responsibilities at work such as getting to work on time, accomplishing daily tasks, and working overtime.",Family-related strain interferes with my ability to perform job-related duties.,Domestic responsibilities are shared equally with spouse/partner.,Taking care of children when they are sick at home,Taking days off from work when children are sick,"Handling chores related to childcare (eg, laundry, cooking, cleaning)",Managing children's activities and schedule,Playing or doing activities with children,Does your work/career interfere with your personal life?,In what ways does your work/career interfere with your personal life?,Are you interested in answering questions on burnout?,Why are you not interested in answering questions on burnout?,"In general, how do you feel about your time? Would you say that you feel rushed?","Pre-COVID: Overall, based on your definition of burnout, how would you rate your level of burnout?",I deal very effectively with the problems of my patients.,I feel I treat some patients as if they were impersonal objects.,I feel emotionally drained from my work.,I feel fatigued when I get up in the morning and have to face another day on the job.,I've become more callous towards people since I took this job.,I feel I'm positively influencing other people's lives through my work.,Working with people all day is really a strain for me.,I don't really care what happens to some patients.,I feel exhilarated after working closely with my patients.
281,18,Woman,"White,Hispanic/Latino",Married,Academic Track - Clinical (clinical appointment with academic appointment),,Yes,3,Residency Director,2,17,0,,,,2,Institutional,,18,"Institutional,Local,Regional,National",,Disagree (3),Strongly Disagree (2),Strongly Disagree (2),Strongly Disagree (2),Strongly Disagree (2),Strongly Disagree (2),Share equally,Share equally,I do more,I do more,Share equally,Sometimes,Difficulty with taking vacation time- schedule overbooked.,Yes,,Sometimes feel rushed,2 Slightly burned out,Every day,A few times per year,A few times per month,A few times per year,Never,Every day,Never,Never,Every day
282,6,Man,Prefer not to say,Married,Academic Track - Teaching,,No,,,3,15,8,"NIH grants,Institutional grants,Not-for-profit organizational grants,Foundational grants",,450000,7,"Institutional,Local",,20,"Institutional,Local,Regional,National,International",,Strongly Agree (6),Strongly Agree (6),Strongly Agree (6),Strongly Agree (6),Strongly Agree (6),Agree (5),,,,,,Always,call destroys it and the bullshit UTSW makes us do and the lack of admin support and lack of support for the other aspects of our mission (research and teaching) kill it     to ba an academic here is to be a poorly paid clinician in a disorganized clinic with admins who add  busywork to our schedules and research and teaching (our joys) are not supported with time or money.,Yes,,Always feel rushed,4 Very burned out,Every day,A few times per week,Every day,Every day,A few times per week,A few times per week,A few times per week,A few times per week,Every day
283,18,Man,White,Married,Tenure Track,,Yes,5,Chair,4,3,25,"NIH grants,Institutional grants,Foundational grants,Industry trials",,$1 million,15,"Institutional,Local,Regional,National,International",,75,"Institutional,Local,Regional,National,International",,Disagree (3),Disagree (3),Disagree (3),Disagree (3),Disagree (3),Strongly Agree (6),,,,,,Sometimes,"Evening and weekend activities due to work obligations and deadlines, or call duties",No,Already answered in a previous burnout survey,,,,,,,,,,,
284,18,Woman,Asian,Long-term committed relationship,"Academic Track - Clinical (clinical appointment with academic appointment),Academic Track - Research,Academic Track - Teaching",,Yes,5,Section Chief Medical Director,5,10,3,"NIH grants,Institutional grants",,"40,000",2,Institutional,,50,"Regional,National,International",,Disagree (3),Disagree (3),Disagree (3),Disagree (3),Disagree (3),Neither Agree or Disagree (4),,,,,,Always,I had to forgo personal life getting married and having a family because I couldn't find a partner who would support my professional ambitions. It was not for lack of trying. I am successful now but still single. Finally have a partner and a committed relationship that is supportive of my successful professional life but this came late in life at a huge personal cost. ,Yes,,Always feel rushed,3 Moderately burned out,A few times per week,Never,A few times per week,Once per month or less,Never,Every day,Never,Never,Every day
285,18,Woman,White,Married,"Academic Track - Clinical (clinical appointment with academic appointment),Non-Tenure",,Yes,5,Chief of Psychology,5,3,15,"NIH grants,Institutional grants,Not-for-profit organizational grants,Foundational grants,Industry trials",,,4,"Institutional,Regional",,18,"Institutional,Local,National",,Disagree (3),Agree (5),Agree (5),Strongly Disagree (2),Strongly Disagree (2),Disagree (3),,,,,,Rarely,meetings during sporting and other family events; on call during personal time,No,Prefer to not answer,,,,,,,,,,,
286,6,Woman,Asian,Married,Academic Track - Clinical (clinical appointment with academic appointment),,Yes,2,medical director,2,12,3,"NIH grants,Industry trials",,,0,,,10,"Institutional,Local,National",,Strongly Disagree (2),Very Strongly Disagree (1),Very Strongly Disagree (1),Very Strongly Disagree (1),Very Strongly Disagree (1),Agree (5),Partner does more,Partner does more,I do more,I do more,I do more,Often,not time for personal life,Yes,,Always feel rushed,3 Moderately burned out,Every day,Never,A few times per month,Once per month or less,A few times per year,Every day,A few times per year,Never,Every day
287,20,Woman,White,Married,Academic Track - Clinical (clinical appointment with academic appointment),,No,,,2,2,0,,,,0,,,0,,,Agree (5),Disagree (3),Disagree (3),Disagree (3),Disagree (3),Agree (5),Partner does more,Partner does more,Share equally,Share equally,Partner does more,Sometimes,Home late and do not get to put kids to bed. Have to leave early so I do not get to have breakfast with them.,No,Prefer to not answer,,,,,,,,,,,
288,20,Man,Asian,Married,"Academic Track - Clinical (clinical appointment with academic appointment),Tenure Track",,Yes,6,10% FTE salary support MEdical Director Stroke Program,2,6,14,"NIH grants,Industry trials",,"35,000",2,"Institutional,Local",,10,"Local,Regional,National,International",,Neither Agree or Disagree (4),Neither Agree or Disagree (4),Neither Agree or Disagree (4),Neither Agree or Disagree (4),Neither Agree or Disagree (4),Agree (5),,,,,,Rarely,Reduced ability to schedule vacation/break ,Yes,,Sometimes feel rushed,2 Slightly burned out,Every day,Once per month or less,Once per month or less,A few times per year,Never,A few times per week,Never,Never,A few times per week
289,20,Woman,Asian,Divorced,Academic Track - Clinical (clinical appointment with academic appointment),,Yes,4,clinic medical director,0,,6,Industry trials,,,2,Institutional,,1,Local,,Neither Agree or Disagree (4),Neither Agree or Disagree (4),Neither Agree or Disagree (4),Neither Agree or Disagree (4),Neither Agree or Disagree (4),N/A,,,,,,Often,Less time for a personal life,Yes,,Sometimes feel rushed,1 Not at all burned out,Every day,Never,A few times per year,Never,Never,Every day,Never,Never,Every day
290,20,Man,White,Divorced,Academic Track - Clinical (clinical appointment with academic appointment),,Yes,2,Associate Program Director,1,0,3,Industry trials,,"$100,000 ",0,,,5,"Institutional,Local,Regional",,Agree (5),Agree (5),Agree (5),Agree (5),Agree (5),N/A,,,,,,Often,Long hours worked on nights and weekends to get caught up on clinical work and admin tasks,Yes,,Sometimes feel rushed,2 Slightly burned out,Every day,A few times per week,Every day,A few times per week,A few times per year,Every day,A few times per month,Never,A few times per week
291,20,Woman,Asian,Single,Academic Track - Clinical (clinical appointment with academic appointment),,No,,,0,,0,,,,0,,,0,,,Disagree (3),Disagree (3),Disagree (3),Strongly Disagree (2),Very Strongly Disagree (1),N/A,,,,,,Often,Call schedule often prevents me from attending events or even being invited.,Yes,,Almost never feel rushed,2 Slightly burned out,Every day,Never,A few times per month,A few times per month,A few times per year,A few times per week,Never,Never,Every day
292,20,Man,White,Married,"Academic Track - Clinical (clinical appointment with academic appointment),Non-Tenure",,Yes,3,Academy of Educators,0,,0,,,,0,,,25,"Institutional,Local,Regional",,Strongly Disagree (2),Disagree (3),Strongly Disagree (2),Disagree (3),Disagree (3),Strongly Disagree (2),,,,,,Sometimes,"have to be on call, limits personal opportunites",Yes,,Sometimes feel rushed,1 Not at all burned out,Once per week,Never,Never,Never,Never,A few times per week,Never,Never,A few times per week
293,20,Woman,White,Married,Academic Track - Clinical (clinical appointment with academic appointment),,Yes,2,Associate Residency Program Director,2,0,0,,,,0,,,0,,,Agree (5),Agree (5),Disagree (3),Disagree (3),Disagree (3),Agree (5),Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Sometimes,It limits my time to be with my family -- I have to do work at home to keep up with demands,Yes,,Sometimes feel rushed,3 Moderately burned out,A few times per week,Never,Every day,Every day,Never,A few times per week,A few times per month,Never,A few times per week
294,20,Woman,Asian,Married,Academic Track - Clinical (clinical appointment with academic appointment),,Yes,4,1,3,3,2,Industry trials,,none directly and I don't know exact amount,0,,,3,"Regional,National,International",,Disagree (3),Neither Agree or Disagree (4),Disagree (3),Disagree (3),Neither Agree or Disagree (4),Neither Agree or Disagree (4),Partner does more,Partner does more,Partner does more,Partner does more,Share equally,Often,"I have to cover for faculty when sick and have give up vacation days or when I'm on vacation attend to clinic or patient matters.  I very often get home past dinner time, esp. when on call.  My spouse is super-supportive and handles house matters, but as a guy, they are not the most adept or dependable but at least he tries. ",Yes,,Always feel rushed,2 Slightly burned out,Every day,Never,A few times per week,Once per week,Never,Every day,A few times per year,Never,Every day
295,20,Woman,White,Married,"Academic Track - Clinical (clinical appointment with academic appointment),Academic Track - Teaching,Non-Tenure",,Yes,3,Associate Chair,1,10,10,Industry trials,,35000,3,"Institutional,National",,20,"Institutional,Local,National",,,,,,,,,,,,,,,,,,,,,,,,,,,
296,20,Woman,White,Long-term committed relationship,Academic Track - Clinical (clinical appointment with academic appointment),,Yes,2,"Diversity, Equity and Inclusion officer",0,,0,,,,0,,,3,Local,,Agree (5),Agree (5),Agree (5),Disagree (3),Disagree (3),Disagree (3),,,,,,Often,"It is very busy at my work as there aren't many other neurologists who do what I do. I get up early and go to work late. I usually have a 4 hour break in the evening and sleep 6 hours a night, but otherwise I am working. I don;t have a lot of time to develop hobbies or meet friends outside of medicine so most of my friends are my co workers. They are lovely, but I sometimes feel isolated and like my whole life revolves around work. ",Yes,,Always feel rushed,2 Slightly burned out,Every day,Never,A few times per week,Every day,A few times per month,Every day,A few times per week,A few times per year,A few times per week
297,23,Woman,White,Married,Academic Track - Clinical (clinical appointment with academic appointment),,Yes,3,Epilepsy director,1,2,0,,,,3,Institutional,,6,Regional,,Very Strongly Agree (7),Very Strongly Agree (7),Very Strongly Agree (7),Agree (5),Agree (5),Disagree (3),Share equally,Share equally,I do more,I do more,I do more,Sometimes,Missing family activities,Yes,,Sometimes feel rushed,3 Moderately burned out,Every day,Never,A few times per month,Once per week,Once per month or less,A few times per week,A few times per week,Never,Once per week
298,23,Woman,White,Married,"Academic Track - Clinical (clinical appointment with academic appointment),Non-Tenure",,Yes,3,Neurology Resident Clinic Director,0.5,1,0,,,,0,,,2,"Institutional,Regional",,Disagree (3),Disagree (3),Agree (5),Disagree (3),Disagree (3),Agree (5),,,,,,Sometimes,"Call obligations interfere with family/friends while at home. Need to work after traditional working hours to finish notes, address patient care, etc.",Yes,,Always feel rushed,2 Slightly burned out,Every day,Once per month or less,A few times per week,Once per week,Once per month or less,Once per week,A few times per month,Once per month or less,A few times per week
299,23,Woman,Asian,Married,"Academic Track - Teaching,Non-Tenure",,Yes,1,Monetary,1,5,0,,,,2,Institutional,,2,National,,Very Strongly Disagree (1),Very Strongly Disagree (1),Very Strongly Disagree (1),Very Strongly Disagree (1),Very Strongly Disagree (1),Strongly Agree (6),,,,,,Sometimes,Calls are quite demanding and preclude social interactions and travel,No,Already answered in a previous burnout survey,,,,,,,,,,,
300,23,Man,Asian,Married,Academic Track - Clinical (clinical appointment with academic appointment),,Yes,1,50,0,,0,,,,0,,,10,"Institutional,Regional,International",,Agree (5),Disagree (3),Disagree (3),Disagree (3),Disagree (3),Strongly Disagree (2),,,,,,Sometimes,"Taking time off/vacation, long working hours, on-call from home. ",No,Survey fatigue,,,,,,,,,,,
301,23,Man,Asian,Married,Academic Track - Clinical (clinical appointment with academic appointment),,Yes,10,none,0.5,2,0,,,,0,,,0,,,Neither Agree or Disagree (4),Neither Agree or Disagree (4),Neither Agree or Disagree (4),Neither Agree or Disagree (4),Neither Agree or Disagree (4),Neither Agree or Disagree (4),Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Rarely,,No,Already answered in a previous burnout survey,,,,,,,,,,,
302,23,Woman,Asian,Married,"Academic Track - Clinical (clinical appointment with academic appointment),Tenure Track",,Yes,1,Less clinic time,3,2,0,,,,3,"Institutional,Regional",,7,"Institutional,Local,National",,Disagree (3),Disagree (3),Disagree (3),Disagree (3),Disagree (3),Agree (5),Share equally,Share equally,I do more,I do more,I do more,Sometimes,,Yes,,Always feel rushed,2 Slightly burned out,Every day,Never,A few times per year,Once per week,Never,Every day,Never,Never,Never
303,8,Woman,White,Married,Academic Track - Clinical (clinical appointment with academic appointment),,Yes,1,monetary,1,0,0,,,,1,Institutional,,0,,,Agree (5),Agree (5),Agree (5),Neither Agree or Disagree (4),Neither Agree or Disagree (4),Agree (5),I do more,Partner does more,I do more,I do more,I do more,Often,,No,Survey fatigue,,,,,,,,,,,
304,8,Woman,White,Married,Academic Track - Research,,Yes,2,,3,7,5,"NIH grants,Not-for-profit organizational grants,Foundational grants",,1500000,0,,,2,"Institutional,Regional",,,,,,,,,,,,,,,,,,,,,,,,,,,
305,8,Woman,Asian,Married,Academic Track - Teaching,,No,,,1,0,0,,,,0,,,1,Local,,Neither Agree or Disagree (4),Neither Agree or Disagree (4),Neither Agree or Disagree (4),Neither Agree or Disagree (4),Neither Agree or Disagree (4),Strongly Agree (6),,,,,,Sometimes,Worry about career advancement and putting in enough time at work at the expense of working on weekends or time off.,Yes,,Sometimes feel rushed,2 Slightly burned out,Every day,Once per week,Once per week,Once per week,Once per month or less,A few times per week,Once per week,A few times per year,Once per week
306,8,Woman,Asian,Single,Academic Track - Clinical (clinical appointment with academic appointment),,No,,,0.2,0,0,,,,0,,,0,,,Disagree (3),Disagree (3),Disagree (3),Disagree (3),Disagree (3),Disagree (3),,,,,,Sometimes,"being frustrated, tired can bleed into negativity in personal life",Yes,,Sometimes feel rushed,3 Moderately burned out,A few times per week,A few times per month,A few times per month,A few times per month,A few times per month,Once per week,A few times per year,A few times per year,Once per week
